,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,PFE,PFE,PFE,PFE,PFE,PFE,PFE,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DJIA,DJIA,DJIA,DJIA,DJIA,DJIA,DJIA
2023-01-03,130.28,130.9,124.17,500.28,112084324,1020782,125.725146,243.08,245.75,237.4,239.58,25729321,314735,239.839342,51.01,51.325,50.82,51.26,15451306,107220,51.13797,88.98,89.9716,87.83,88.97,14897284,139058,88.822368,21.54,21.74,21.54,21.6,18605,292,21.628983
2023-01-04,126.89,128.6557,125.08,505.44,89072202,769281,126.646333,232.275,232.87,225.96,229.1,50605745,678450,228.550963,50.29,50.63,49.522,50.13,21667635,155332,50.121185,90.0,92.745,89.36,91.98,14888919,140195,91.716985,21.79,21.8099,21.65,21.67,52444,339,21.720231
2023-01-05,127.13,127.74,124.76,500.08,81246605,663745,126.088261,227.2,227.55,221.7602,222.31,39497155,469715,223.599071,49.73,49.99,48.92,49.66,19883316,137842,49.498364,91.66,92.48,90.51,91.92,11531717,109109,91.654323,21.6,21.7,21.57,21.57,20536,256,21.6561
2023-01-06,126.01,130.29,124.89,518.48,87758343,711520,128.198067,223.0,225.7601,219.35,224.93,43613574,495762,223.378763,49.98,51.6,49.56,50.92,29561206,172728,50.689219,92.66,94.69,91.3211,93.92,9778864,113270,93.624623,21.64,21.8999,21.62,21.82,30636,352,21.776818
2023-01-09,130.465,133.41,129.89,520.6,70832518,647372,131.628178,226.45,231.2366,226.41,227.12,27381117,363980,228.598004,50.05,50.26,48.31,48.39,30844022,184793,49.132832,94.43,95.7,93.45,94.77,11677763,126838,94.894001,21.78,22.14,21.63,21.84,46659,490,21.873448
2023-01-10,130.26,131.2636,128.12,522.92,63924884,555791,129.822614,227.755,231.31,227.33,228.85,27041694,334903,228.78785,48.35,48.47,47.38,47.62,29213581,171712,47.711225,94.28,95.64,93.82,95.56,6916626,88281,94.940806,21.9,21.93,21.8,21.87,40803,388,21.882259
2023-01-11,131.25,133.51,130.46,533.96,69546367,562444,132.308564,231.29,235.95,231.11,235.77,28682661,340422,233.984911,47.7,47.74,46.86,47.45,23027771,136039,47.314319,95.92,96.55,95.045,96.33,8792885,107175,96.194214,22.01,22.01,21.8,21.85,91163,502,21.891147
2023-01-12,133.88,134.26,131.44,533.64,71379796,635331,133.171001,235.26,239.9,233.56,238.51,27269634,400489,237.812998,47.27,47.72,46.58,47.71,23345252,146486,47.319045,98.5,100.63,97.5705,99.81,19814324,199309,99.527202,22.03,22.03,21.8,21.83,36565,355,21.957311
2023-01-13,132.03,134.92,131.66,539.04,57769049,536939,133.677962,237.002,239.37,234.92,239.23,21321174,299874,237.475196,47.5,48.16,47.49,47.85,18699353,113368,47.871446,99.38,99.6,98.01,99.4,12211055,129082,99.024884,21.55,22.079,21.55,21.98,43622,349,21.948391
2023-01-17,134.83,137.29,134.13,543.76,63758760,596823,135.758775,237.97,240.91,237.09,240.35,29861080,370450,239.671045,46.54,46.74,45.71,46.08,29421508,182697,46.233724,100.32,100.99,98.995,99.91,14894484,146433,100.029688,22.07,22.11,21.89,21.95,53276,439,21.95549
2023-01-18,136.815,138.61,135.03,540.84,69735052,579244,136.330575,241.565,242.38,235.52,235.81,30035238,378180,237.874524,45.545,45.85,44.97,45.0,33850411,212111,45.249268,100.28,101.1299,98.7249,99.04,11391715,123710,99.566653,22.09,22.09,21.9,21.94,81884,329,21.94689
2023-01-19,134.08,136.25,133.77,541.08,58358070,492461,134.965652,233.78,235.52,230.68,231.93,28670724,362473,232.540172,44.72,45.27,44.64,44.96,26619639,123699,44.990616,98.12,99.45,97.12,99.08,10976298,114613,98.649213,21.76,22.0,21.76,21.975,67287,325,21.970781
2023-01-20,135.28,138.02,134.22,551.48,80246596,552231,136.37534,234.855,240.74,234.51,240.22,35529808,364052,238.213442,45.28,45.43,44.725,45.11,25197558,121931,45.022301,100.34,103.5865,99.3015,103.48,14549879,145673,101.809567,21.95,22.19,21.94,22.05,94930,401,22.042487
2023-01-23,138.12,143.315,137.9,564.44,81782578,720202,141.211585,241.1,245.165,239.65,242.58,31959175,413797,242.750685,45.04,45.32,44.82,44.98,19402036,123211,45.055572,103.29,105.9541,102.9209,105.69,11487637,143133,105.007196,21.95,22.11,21.9001,22.05,130368,607,22.007762
2023-01-24,140.305,143.16,140.3,570.12,66537342,500098,142.05092,242.5,243.95,240.44,242.04,41077824,521976,243.762659,44.915,44.95,44.15,44.71,18860046,128122,44.57268,105.39,108.44,102.0,106.0,8610602,109876,106.022448,21.93,22.2,21.9,22.11,62085,369,22.040875
2023-01-25,140.89,142.43,138.81,567.44,65853903,537643,140.753668,234.48,243.3,230.9,240.61,66549464,745861,237.476732,45.03,45.1099,44.585,45.07,20832582,106908,44.957906,104.96,108.16,104.18,108.12,10010666,128494,106.534082,21.93,22.09,21.93,22.03,27136,327,22.030987
2023-01-26,143.17,144.25,141.9,575.84,54133367,473064,143.342998,243.65,248.31,242.0,248.0,33466232,402165,245.411601,44.2,44.3,43.61,44.25,38470838,196494,44.02833,108.17,109.76,107.5701,109.7,9207327,115883,108.69365,22.03,22.1499,22.03,22.09,36124,256,22.069682
2023-01-27,143.155,147.23,143.08,583.72,70563928,560024,145.836598,248.99,249.83,246.83,248.16,26498939,336282,248.393543,44.22,44.34,43.78,43.79,23798610,130626,44.029147,109.26,110.5823,109.16,109.54,10249678,126350,109.89648,22.06,22.1595,22.06,22.125,39507,312,22.097344
2023-01-30,144.955,145.55,142.85,572.0,64035195,551982,143.652231,244.51,245.6,242.2,242.71,25873062,309092,243.216391,43.79,44.135,43.395,43.55,24414980,149239,43.694161,108.26,108.97,107.48,107.59,8549924,109904,108.127091,22.05,22.18,22.05,22.105,50663,270,22.085607
2023-01-31,142.7,144.34,142.28,577.16,65901236,469056,143.647315,243.45,247.95,242.945,247.81,26548747,256333,246.537504,43.0,44.275,42.7,44.16,49746158,228742,43.610502,107.58,108.715,107.45,108.49,8252499,91085,108.259744,22.18,22.1886,22.07,22.12,24566,286,22.114577
2023-02-01,143.97,146.61,141.32,581.72,77771182,695936,143.875311,248.0,255.18,245.47,252.75,31313077,387384,250.321024,43.905,44.18,43.41,43.97,24487678,155438,43.832631,108.5,109.94,106.9,109.39,9980042,131239,108.613929,22.15,22.19,22.05,22.19,76885,408,22.124757
2023-02-02,148.9,151.18,148.17,603.28,118934268,1001832,149.365729,258.82,264.69,257.25,264.6,39970811,534271,261.624237,43.63,44.46,43.5,44.34,35362172,173516,44.057952,110.67,113.53,109.6901,113.21,13104666,170458,112.051463,22.2,22.2,22.05,22.19,33627,355,22.160675
2023-02-03,148.03,157.38,147.83,618.0,154375619,1141351,154.244313,259.542,264.2,257.1,258.35,29095156,408059,259.933278,44.355,44.39,43.88,44.06,23741990,130964,44.106262,111.47,113.1412,110.37,110.71,12472478,149920,111.650716,22.19,22.25,22.1501,22.25,26325,327,22.208322
2023-02-06,152.575,153.1,150.78,606.92,69971158,584464,152.095141,257.44,258.3,254.78,256.77,22526884,276914,256.760203,44.19,44.3,43.725,43.76,18072718,112966,43.897232,110.17,110.43,108.53,109.87,11959271,143695,109.467408,22.17,22.27,22.16,22.2295,43290,336,22.228653
2023-02-07,150.64,155.23,150.64,618.6,83369832,662993,153.420645,260.53,268.775,260.08,267.56,50921498,620174,264.697497,43.82,43.9,43.2506,43.59,23000081,132079,43.579337,109.295,112.12,108.86,111.63,10856508,137266,110.579003,22.32,22.3699,22.22,22.23,18926,224,22.286628
2023-02-08,153.88,154.58,151.168,607.68,64635585,524915,152.407833,273.2,276.76,266.21,266.73,54870828,660196,270.331544,43.55,44.1,43.53,43.98,19365812,111421,43.906803,112.2,113.33,110.29,111.78,27937284,301401,114.025319,22.39,22.39,22.23,22.23,35835,278,22.289408
2023-02-09,153.775,154.33,150.42,603.48,56050506,472901,152.276061,273.8,273.98,262.8,263.62,42402692,472697,267.301401,44.12,44.325,43.24,43.34,20812746,114817,43.643901,118.04,118.18,109.8089,110.36,46168573,418127,114.120581,22.39,22.39,22.23,22.23,20883,245,22.301038
2023-02-10,149.46,151.3401,149.22,604.04,57616163,443407,150.404179,261.53,264.09,260.662,263.1,25828468,334146,262.40292,43.5,43.98,43.26,43.88,18619569,111258,43.815125,108.96,109.74,107.21,108.06,15565987,171314,108.194834,22.34,22.34,22.23,22.25,23947,244,22.275738
2023-02-13,150.952,154.26,150.92,615.4,62241849,507442,153.231292,267.64,274.6,267.15,271.32,44675614,499885,271.443692,43.68,44.01,43.51,43.99,17880330,101962,43.787894,108.1,108.2874,106.55,107.66,12344702,146431,107.57735,22.22,22.3999,22.22,22.31,19625,280,22.318311
2023-02-14,152.12,153.77,150.86,612.8,61776837,529443,152.596091,272.67,274.97,269.28,272.17,37064864,472036,272.036551,44.09,44.2,43.58,43.72,17509298,99973,43.882276,106.82,108.44,105.8205,107.66,10769940,116782,107.49628,22.4,22.4,22.2501,22.4,78124,417,22.351555
2023-02-15,153.11,155.5,152.88,621.32,65704101,521645,154.454035,268.32,270.73,266.18,269.32,28971475,370964,268.425457,43.42,43.61,43.11,43.32,19001089,99859,43.377245,107.09,109.27,106.7,109.24,8167034,109740,108.20322,22.47,22.47,22.33,22.33,58099,262,22.384264
2023-02-16,153.51,156.33,153.3475,614.84,68198046,517226,154.713491,264.02,266.74,261.9,262.15,29699109,390549,264.0978,43.15,43.18,42.77,42.95,17833659,116147,42.95367,107.55,108.02,105.7,105.83,9490021,113956,106.894597,22.56,22.56,22.3501,22.41,66770,313,22.4666
2023-02-17,152.35,153.0,150.85,610.2,59182712,468581,152.045308,259.39,260.09,256.0,258.06,30015953,392724,257.684959,42.89,43.37,42.58,43.21,18293446,116445,43.085717,105.03,105.8,103.88,105.22,9492184,116501,104.752915,22.4,22.602,22.375,22.6,44570,327,22.511158
2023-02-21,150.2,151.3,148.405,593.92,58914102,510373,149.354555,254.48,255.49,251.59,252.67,28429235,341629,253.024237,42.81,42.93,42.62,42.7,17361239,112445,42.763405,103.55,103.73,101.83,102.09,10650913,131909,102.390255,22.5,22.5,22.1315,22.15,44098,420,22.217539
2023-02-22,148.87,149.95,147.16,595.64,51037691,430636,148.549644,254.09,254.34,250.34,251.51,22506473,276817,252.206624,42.72,42.885,42.31,42.38,17398389,109430,42.570934,101.33,102.56,101.09,101.68,9885963,105684,101.840903,22.01,22.255,22.0001,22.03,22393,218,22.11785
2023-02-23,150.09,150.34,147.24,597.6,48412870,425850,148.840918,255.56,256.84,250.48,254.77,29225196,366403,253.940829,42.29,42.75,42.22,42.3,21106652,121361,42.404866,101.45,102.0499,99.605,101.73,10976735,123653,101.023392,22.01,22.2,22.0,22.1432,34997,220,22.073648
2023-02-24,147.11,147.19,145.7202,586.84,55469643,472221,146.386141,249.96,251.0,248.1,249.22,25048983,339812,249.408035,42.03,42.05,41.505,41.75,16806099,111569,41.710071,99.53,100.43,98.96,100.3,8523000,112528,99.908517,22.14,22.14,21.84,21.92,37339,453,21.952423
2023-02-27,147.71,149.17,147.45,591.68,45007197,418716,148.134406,252.46,252.82,249.39,250.16,21201885,267955,250.496206,41.44,41.73,40.73,40.78,26375859,159769,41.050791,100.73,101.47,100.06,100.45,6642437,87940,100.699724,22.49,22.49,22.0,22.15,25594,234,22.213685
2023-02-28,147.05,149.08,146.83,589.64,50575615,385163,147.799188,249.07,251.49,248.73,249.42,22495185,250808,249.778911,40.5,40.7099,40.09,40.57,31099064,171666,40.502865,100.45,100.75,99.57,99.61,8237066,89416,99.876527,22.24,22.24,21.9,21.95,31375,323,21.985112
2023-03-01,146.83,147.2285,145.01,581.24,55536947,462675,145.867492,250.76,250.93,245.79,246.27,27634988,331994,247.437437,40.56,40.76,40.135,40.18,21108079,127151,40.369022,99.19,99.63,98.1,98.54,7905108,100223,98.703828,22.05,22.0599,21.85,21.88,17318,339,21.969589
2023-03-02,144.38,146.71,143.9,583.64,52288660,414038,145.165229,246.55,251.4,245.61,251.11,24885016,317271,248.851543,40.06,40.78,39.805,40.62,19113935,115660,40.389646,97.74,99.29,97.42,98.92,7783809,89993,98.384386,21.71,22.2499,21.71,22.11,48761,476,21.983785
2023-03-03,148.045,151.11,147.33,604.12,70739572,558707,150.030541,252.19,255.62,251.39,255.29,30760136,326868,254.649194,40.91,41.18,40.74,41.15,20922034,113476,41.006522,99.67,101.18,98.88,101.14,7434264,97677,100.479513,22.14,22.392,22.14,22.3867,39995,315,22.254122
2023-03-06,153.785,156.3,153.46,615.32,87605555,692922,154.689,256.425,260.12,255.98,256.87,24126495,304359,257.790242,41.09,41.26,40.82,41.11,19437592,109205,41.088198,101.61,102.695,100.49,100.66,6775095,90044,101.368732,22.38,22.4999,22.168,22.35,106921,287,22.375963
2023-03-07,153.7,154.0299,151.13,606.4,56284401,497298,152.277117,256.3,257.69,253.39,254.15,21482122,331740,254.912999,41.06,41.13,40.1,40.34,23206722,140464,40.378599,100.4,100.94,98.89,99.06,6952992,95487,99.530415,22.24,22.45,22.0295,22.0679,43343,470,22.169546
2023-03-08,152.81,153.47,151.83,611.48,47238140,405959,152.697389,254.04,254.5417,250.81,253.7,17406569,266211,252.804194,40.32,40.5668,39.905,40.12,16757473,115144,40.09551,99.0,99.62,98.3,99.3,5670163,72455,99.057887,22.01,22.28,21.92,22.06,63645,645,22.03248
2023-03-09,153.559,154.535,150.225,602.36,53858855,482155,152.467883,255.82,259.56,251.58,252.32,26670180,379969,255.234754,40.41,40.57,39.31,39.46,18590235,131515,39.757374,99.45,100.05,95.92,96.14,8277929,114673,97.491584,22.038,22.12,21.63,21.63,56034,546,21.906111
2023-03-10,150.21,150.94,147.6096,594.0,68584020,611446,149.07167,251.08,252.79,247.6,248.59,28393880,412571,249.665854,39.29,39.93,39.23,39.39,26328104,173944,39.517671,95.6,95.9,92.83,93.57,13978845,188511,93.934209,21.81,21.896,21.36,21.47,39268,460,21.562761
2023-03-13,147.805,153.14,147.7,601.88,84486565,761405,151.183344,247.4,257.91,245.73,253.92,33403358,444994,253.754483,39.255,40.505,39.255,39.86,35302234,230529,40.017204,91.885,94.0242,90.46,92.6,11917348,161646,92.551182,21.38,21.65,21.0,21.38,53608,451,21.45581
2023-03-14,151.28,153.4,150.1,610.36,75369408,565961,152.227567,256.75,261.07,255.86,260.79,33640999,424867,259.142335,40.05,40.15,39.52,39.9,24586935,134659,39.844366,94.0,94.3,92.34,93.36,10324876,113781,93.382281,21.78,21.7999,21.43,21.74,21509,254,21.6088
2023-03-15,151.19,153.245,149.92,611.96,77191474,704128,151.786431,259.98,266.48,259.21,265.44,46067581,610286,263.740924,39.76,40.53,39.46,40.28,25498919,165938,40.138269,91.63,93.3557,91.41,93.1,9547462,128543,92.498959,21.39,21.5342,21.24,21.44,92227,501,21.350872
2023-03-16,152.16,156.46,151.64,623.4,76301980,676098,154.81187,265.205,276.56,263.28,276.2,54831124,689121,272.517382,40.06,40.49,39.72,40.37,21100883,141686,40.240123,92.67,94.5599,91.89,94.29,9946678,124635,93.696103,21.34,21.789,21.2401,21.748,31549,270,21.499482
2023-03-17,156.08,156.74,154.28,620.0,98410125,609627,155.341646,278.26,283.33,276.3201,279.43,69231892,689908,279.392327,40.625,40.79,39.985,40.1,57194048,155430,40.207975,94.05,94.27,92.91,93.2,12863611,117248,93.414095,21.78,21.8159,21.36,21.49,20161,319,21.534083
2023-03-20,155.07,157.82,154.15,629.6,74601439,629813,156.568241,276.98,277.48,269.85,272.23,43475680,604658,272.013753,40.14,40.86,39.94,40.81,20826434,116596,40.608786,93.43,94.92,93.0,94.22,6658593,92688,94.06033,21.69,21.69,21.27,21.31,16479,268,21.354061
2023-03-21,157.32,159.4,156.54,637.12,73966683,591913,158.340858,274.88,275.0,269.5191,273.78,34579501,425755,272.343247,40.86,40.91,40.31,40.66,19983326,118884,40.575528,95.17,96.85,95.17,96.54,7289022,96037,96.224391,21.79,21.79,21.32,21.49,15233,196,21.471444
2023-03-22,159.3,162.14,157.81,631.32,76210093,657771,159.681719,273.4,281.04,272.18,272.29,34890176,487283,275.82172,40.7,40.85,39.99,40.01,15445010,104818,40.329422,97.45,97.93,94.82,94.9,8813419,106308,96.367886,21.49,21.589,21.3,21.3,17975,216,21.513397
2023-03-23,158.83,161.5501,157.68,635.72,68939159,614270,159.592306,277.94,281.06,275.2,277.66,36610862,447984,278.262222,40.17,40.4972,40.0,40.18,16958146,105469,40.260609,95.28,97.02,94.76,95.83,9527009,115136,96.069389,21.55,21.5799,21.3401,21.4447,20355,293,21.451473
2023-03-24,158.86,160.34,157.85,641.0,59116279,511481,159.235681,277.24,280.63,275.28,280.57,27948740,386081,278.61335,40.09,40.455,39.8748,40.39,17028126,104110,40.24296,94.81,95.0,93.02,94.08,9457954,126847,93.86263,21.5,21.5,21.34,21.37,17429,259,21.390513
2023-03-27,159.94,160.77,157.87,633.12,52405692,519169,159.018597,280.5,281.4589,275.52,276.38,26849497,337265,277.622716,40.54,40.62,39.97,40.22,20262829,112673,40.264885,94.78,96.02,94.38,95.62,7487900,104713,95.258384,21.62,21.62,21.361,21.51,22819,255,21.501169
2023-03-28,157.97,158.49,155.98,630.6,46007145,433125,156.97872,275.79,276.14,272.0451,275.23,21883950,288597,273.833311,40.2,40.3,39.86,39.99,13486211,79068,40.025165,95.51,96.0,94.59,94.82,5405455,78472,95.12085,21.66,21.66,21.49,21.49,22464,325,21.567064
2023-03-29,159.37,161.05,159.35,643.08,51328230,472820,160.216097,278.96,281.1398,278.41,280.51,25096698,312944,279.895658,40.16,40.27,39.99,40.25,14429902,87188,40.169758,96.08,96.91,95.35,96.87,5891701,77813,96.345429,21.6,21.6715,21.5401,21.6,19894,210,21.625353
2023-03-30,161.53,162.47,161.271,649.44,49502003,456154,162.020525,284.23,284.46,281.48,284.05,25053410,338299,283.178802,40.42,40.49,40.25,40.38,12634521,78085,40.35206,98.73,98.92,97.67,98.1,7669482,102079,98.089919,21.82,21.82,21.56,21.62,101073,483,21.651257
2023-03-31,162.44,165.0,161.91,659.04,55959943,568687,163.851052,283.73,288.82,283.0,288.3,26149167,394979,286.069572,40.55,40.83,40.28,40.8,23203057,103372,40.594092,98.89,100.2,98.5,100.13,8791701,100164,99.554327,21.78,21.78,21.58,21.71,38051,375,21.70015
2023-04-03,164.27,166.29,164.22,664.68,56998454,569682,165.348912,286.52,288.27,283.95,287.23,25032780,351325,286.27479,40.69,41.4668,40.65,41.35,20818027,109442,41.257298,100.21,100.43,99.27,99.76,7316207,93113,99.822289,21.82,21.82,21.6,21.7,39603,338,21.787214
2023-04-04,166.595,166.84,165.11,662.52,46323527,456992,165.912926,287.23,290.4499,285.67,287.18,25832186,351835,287.929615,41.44,41.53,40.76,40.9,19514531,117202,40.981528,100.3,100.42,98.76,99.57,6794168,89350,99.465892,21.85,21.85,21.7,21.81,24879,255,21.770211
2023-04-05,164.74,165.05,161.8,655.04,51534760,534317,163.491178,285.85,287.15,282.92,284.34,22074340,315234,284.401587,41.285,42.22,41.17,41.55,29486502,147314,41.772305,99.7,100.18,98.632,99.91,7705408,97727,99.675316,21.9,21.9,21.75,21.81,27727,319,21.801029
2023-04-06,162.43,164.9584,162.0,658.64,45390035,446212,164.025748,283.21,292.08,282.03,291.6,29770363,391332,288.658374,41.93,42.095,41.3743,41.5,25931833,131406,41.568939,99.44,100.32,98.55,99.97,7042486,91244,99.608163,21.7,21.86,21.7,21.84,55023,348,21.779251
2023-04-10,161.42,162.03,160.08,648.12,47791508,564828,161.261844,289.208,289.6,284.71,289.39,23122275,320903,287.727188,41.15,41.74,41.12,41.73,15138845,98244,41.537303,99.3,100.81,98.9,100.81,8019029,116458,100.275738,22.2,22.2,21.79,21.86,47455,356,21.83918
2023-04-11,162.35,162.36,160.51,643.2,47810181,491226,161.128056,285.75,285.98,281.64,282.83,27551016,397918,283.286315,41.8,41.99,41.7,41.79,15305658,89015,41.847959,101.16,101.91,100.29,100.42,7514770,102525,101.032942,21.94,21.94,21.7901,21.88,51663,374,21.859736
2023-04-12,161.22,162.06,159.78,640.4,50164302,515535,160.883893,284.79,287.01,281.96,283.49,27423922,393020,284.46312,41.63,41.79,41.27,41.37,17036706,95198,41.479293,101.25,102.22,97.7,97.94,9298105,118951,99.327012,21.87,21.91,21.82,21.91,25188,278,21.858299
2023-04-13,161.63,165.8,161.42,662.24,68436844,595635,164.353317,283.59,289.9,283.17,289.84,24232451,319819,288.130545,41.53,41.7,41.295,41.47,22880859,114186,41.520518,98.51,101.07,98.51,100.84,8744879,95928,100.426837,21.81,21.93,21.75,21.84,59568,458,21.837493
2023-04-14,164.59,166.32,163.83,660.84,48280881,476387,165.025855,287.0,288.48,283.69,286.14,20319449,312919,285.980215,41.505,41.71,40.93,41.19,20065991,109921,41.184191,100.5,100.86,98.93,99.9,7105675,94736,99.621022,21.84,21.87,21.795,21.8,37136,328,21.851132
2023-04-17,165.09,165.39,164.03,660.92,40669651,474137,164.807277,289.93,291.6,286.16,288.8,23400368,318677,288.280269,41.12,41.28,40.96,41.18,17123767,91849,41.138512,99.57,100.57,99.15,100.3,6542098,88864,99.937498,21.95,21.99,21.81,21.85,25439,353,21.881546
2023-04-18,166.1,167.41,165.65,664.12,23425922,309880,166.344854,291.57,291.755,287.01,287.7,9567537,171684,288.872061,41.28,41.33,40.63,40.6517,6697243,50858,40.870371,100.61,100.94,99.595,100.565,3745914,51439,100.299306,22.0,22.0,21.865,21.93,21224,162,21.899874
